StockID,Name,Model,Manufacturer,Color,Year,Availability,PricePerDay
1,Reveulto,,Lamborghini,Orange,2024,true,700.00
2,Aventador,SVJ,Lamborghini,Yellow,2016,true,649.00
3,Chiron,,Bugatti,Blue,2020,true,1200.00
4,Veyron,SuperSport,Bugatti,Black/Orange,2012,true,1800.00
5,LaFerrari,Spyder,Ferrari,Red,2013,true,1000.00
6,812,Superfast,Ferrari,Yellow,2018,true,650.00
7,765,LT,Mclaren,Green,2022,true,600.00
8,911,GT3 RS,Porsche,White,2023,true,500.00
9,R8,Spyder,Audi,Grey,2022,true,550.00
10,AMG GTR,,Mercedes,Black/Grey,2021,true,450.00
11,P1,,Mclaren,Blue,2015,true,900.00
12,Nevera,,Rimac,Blue,2022,true,700.00
